date,txVolume(USD),txCount,marketcap(USD),price(USD),generatedCoins,exchangeVolume(USD)
2015-08-10,1193012.00155,2037,4313e4,0.713989,27817.34375,405283
2015-08-11,1052027.18443,4963,42796500,0.708087,28027.8125,1463100
2015-08-12,792336.960964,2036,64018400,1.06,27370.9375,2150620
2015-08-13,2181181.70188,2842,73935400,1.22,28268.125,4068680
2015-08-14,4154762.83498,3174,109594e3,1.81,31106.71875,4637030
2015-08-15,8336306.79171,2284,10916e4,1.8,28512.65625,2554360
2015-08-16,2870429.34483,2440,102028e3,1.68,27094.53125,3550790
2015-08-17,3546724.77334,2512,95819700,1.58,28118.90625,1942830
2015-08-18,1889437.07633,2494,88143200,1.22,26162.8125,1485680
2015-08-19,1345014.08999,3246,84663900,1.17,27282.03125,1486240
2015-08-20,521681.195137,2303,90809e3,1.25,21057.03125,2843760
2015-08-21,868536.958506,3919,107266e3,1.48,26690.9375,2020970
2015-08-22,692395.557139,3579,101404e3,1.4,27550.46875,948310
2015-08-23,687012.256899,4190,99894500,1.38,26255.625,1589300
2015-08-24,624092.395422,4432,97791600,1.35,27333.28125,924920
2015-08-25,499939.970307,4487,89321900,1.23,26736.09375,1307180
2015-08-26,496509.001003,4156,82384400,1.13,26137.96875,1056750
2015-08-27,319146.960498,5590,85106100,1.17,24532.8125,686662
2015-08-28,345519.947941,4758,83521700,1.15,24225.15625,721872
2015-08-29,512229.616379,4139,86887600,1.19,22525,375377
2015-08-30,490782.177398,4572,86145900,1.18,21453.59375,1337650
2015-08-31,508000.974842,5196,96251e3,1.32,21293.4375,1447180
2015-09-01,1916769.11487,5153,98617200,1.35,20339.21875,778862
2015-09-02,374700.61176,5195,98504600,1.35,18391.09375,883769
2015-09-03,723821.352486,4777,94418700,1.3,17380.9375,702991
2015-09-04,222451.293434,5642,92234100,1.26,23081.875,474391
2015-09-05,214369.130266,5519,93402300,1.28,25629.0625,448453
2015-09-06,396954.237931,5521,97625500,1.34,26168.28125,491968
2015-09-07,263279.114635,5702,94585300,1.3,25460.46875,489014
2015-09-08,329609.254634,5622,91020700,1.25,25888.75,427892
2015-09-09,1420839.17268,5604,90518300,1.24,26431.40625,366748
2015-09-10,249264.32073,5341,88230500,1.21,26444.21875,662782
2015-09-11,842671.455546,6460,85144300,1.16,27238.59375,1942600
2015-09-12,214953.339122,5596,72179e3,0.987228,26402.34375,772430
2015-09-13,233153.47095,6057,76193600,1.04,26171.40625,644138
2015-09-14,251532.144763,5572,68814400,0.940566,25588.125,741085
2015-09-15,528121.741887,5409,64052400,0.875189,25615.3125,703390
2015-09-16,523055.189762,5872,68963300,0.941977,26318.125,615593
2015-09-17,268192.315916,5368,66415200,0.906865,25435.625,897940
2015-09-18,356656.887923,5802,64071300,0.874574,25894.21875,484622
2015-09-19,331975.532998,5205,62262700,0.849603,27187.1875,386988
2015-09-20,115939.606962,6402,646e5,0.881191,27982.65625,508314
2015-09-21,148483.821655,6305,69045900,0.941496,26651.875,424039
2015-09-22,178938.921116,6804,67444200,0.919337,26370.3125,487914
2015-09-23,118464.140953,7404,66309600,0.90356,27080.3125,200541
2015-09-24,275068.137631,6224,65836400,0.896796,26385.78125,842505
2015-09-25,542954.78067,5851,60221400,0.820031,27003.4375,903457
2015-09-26,185398.507247,5907,54188900,0.73763,25910.3125,369620
2015-09-27,302982.786671,5760,58149600,0.791277,25011.09375,413801
2015-09-28,516557.965524,6123,53201800,0.723715,24714.21875,1320890
2015-09-29,234208.842445,5738,42607700,0.579414,24364.6875,913992
2015-09-30,337049.008832,5870,48636600,0.661192,25097.5,619926
2015-10-01,395443.359519,6421,54032300,0.734307,27422.03125,596084
2015-10-02,101770.44683,6063,50328700,0.683732,26913.125,219318
2015-10-03,83472.3579063,6112,49981900,0.678783,26453.75,163326
2015-10-04,190487.183799,6624,50556e3,0.686343,25480.15625,103497
2015-10-05,109299.046995,6279,49131600,0.666784,26136.875,234263
2015-10-06,315241.251486,6458,45863300,0.622218,25036.5625,262674
2015-10-07,201787.026703,7121,47964700,0.650515,26133.59375,218327
2015-10-08,191033.831271,6926,44955900,0.609501,26778.4375,310266
2015-10-09,146902.620552,6763,48334900,0.655084,25451.40625,386420
2015-10-10,82385.5282663,6529,47325200,0.641187,25499.6875,141555
2015-10-11,95944.4205613,6023,46327500,0.627461,26507.03125,102128
2015-10-12,171873.574295,6593,46864200,0.634515,26803.75,109567
2015-10-13,258212.881885,6818,46395200,0.627943,26668.28125,303044
2015-10-14,607655.452607,6830,45250600,0.61224,25875.625,971664
2015-10-15,418538.885953,6499,38688300,0.523278,25610.46875,371022
2015-10-16,202601.881735,6795,41608900,0.562593,25441.40625,249891
2015-10-17,130246.016831,6567,39515900,0.534117,26450.625,313860
2015-10-18,99784.3632927,6481,40550400,0.547913,25848.28125,133690
2015-10-19,266430.637729,6604,38321300,0.517621,25966.71875,243742
2015-10-20,245597.151842,5897,36261200,0.489629,26192.5,383921
2015-10-21,300832.294689,6182,31973600,0.431589,26046.40625,609085
2015-10-22,275561.318135,5979,32977300,0.444988,25330.78125,924822
2015-10-23,437771.31856,6888,41986400,0.56637,27554.84375,878822
2015-10-24,53895.3027682,6361,40022100,0.539681,27118.75,258356
2015-10-25,147459.128473,5830,41781300,0.563207,26814.21875,635384
2015-10-26,443409.269032,5938,45991300,0.619743,25912.1875,1089120
2015-10-27,1342211.33689,6784,52624300,0.70889,27529.375,1846370
2015-10-28,853649.129646,7346,64676600,0.870938,26344.6875,2373050
2015-10-29,522938.908113,7836,74675600,1.01,27510.78125,2279240
2015-10-30,1463340.70588,7941,89857400,1.21,27720.15625,2429200
2015-10-31,290238.780502,7557,77800300,1.05,27751.5625,673892
2015-11-01,134005.682915,6915,68477200,0.920847,28180.15625,588913
2015-11-02,373003.74475,6558,78701400,1.06,27134.21875,1145200
2015-11-03,591939.042181,7399,7401e4,0.994568,27605.78125,1907690
2015-11-04,813332.073784,7037,75232400,1.01,27716.40625,3060340
2015-11-05,310000.094231,7498,67070700,0.900699,27291.40625,1179840
2015-11-06,848836.925319,7882,67397100,0.904772,27422.1875,913666
2015-11-07,393480.659723,10996,68833200,0.923732,26715.3125,890187
2015-11-08,821063.343566,12413,68254300,0.915661,27289.0625,1021460
2015-11-09,975381.900236,7689,76991800,1.03,27059.53125,2045290
2015-11-10,891132.50098,8151,74685300,1,27444.0625,854581
2015-11-11,283710.360866,10217,70236200,0.941296,27819.0625,1278580
2015-11-12,223759.794899,9534,59448700,0.796455,28032.03125,806156
2015-11-13,423125.551722,7891,67777e3,0.907722,28185.15625,543671
2015-11-14,256807.228659,7211,67631900,0.905469,28357.65625,372514
2015-11-15,156460.678696,7170,66590200,0.891217,28120.15625,411848
2015-11-16,395086.783222,7442,67730700,0.906166,27395.15625,620945
2015-11-17,1070401.11434,7145,69157900,0.924948,27793.59375,1145440
2015-11-18,197660.982908,7373,74287700,0.993214,27252.03125,681104
2015-11-19,271338.021627,8876,73976100,0.988713,26563.4375,443528
2015-11-20,185962.014632,6348,71532500,0.955735,25130.46875,614335
2015-11-21,124541.311664,6822,69535300,0.928758,26782.1875,455976
2015-11-22,250851.889707,7083,73378800,0.979765,26988.59375,372173
2015-11-23,662337.923469,8260,72484200,0.967493,27272.34375,441875
2015-11-24,372556.845282,7152,70931100,0.946442,26848.125,524195
2015-11-25,168352.5214,7098,67010200,0.893827,26471.875,622991
2015-11-26,837964.176314,7278,64740900,0.863273,26538.4375,947473
2015-11-27,599003.265088,6639,66174600,0.8821,27886.875,403813
2015-11-28,104774.60478,6817,65147e3,0.868102,27201.09375,462464
2015-11-29,173995.405199,6853,68625100,0.914144,27350.9375,448358
2015-11-30,207334.547472,8986,66080400,0.879951,27360,784439
2015-12-01,195994.783055,6794,6598e4,0.878316,27542.8125,652857
2015-12-02,257351.021634,6502,65615700,0.873171,26007.03125,506307
2015-12-03,181143.284124,6971,61530500,0.818546,28063.28125,539969
2015-12-04,136371.010006,6898,61065700,0.812082,26679.375,241278
2015-12-05,121090.607918,6784,63276e3,0.841195,26581.875,232743
2015-12-06,207379.532972,9103,65194900,0.866417,26255.78125,443608
2015-12-07,377754.798255,7141,62950900,0.836322,26718.90625,520409
2015-12-08,142951.305788,6697,60690400,0.806024,26312.5,445903
2015-12-09,202087.347364,7001,62098400,0.824454,28324.0625,624221
2015-12-10,172509.244946,7444,59945e3,0.79559,27477.34375,369589
2015-12-11,268100.865211,8105,63312400,0.839995,27022.8125,801072
2015-12-12,452378.390602,8205,7021e4,0.931196,27206.5625,1376280
2015-12-13,314251.884047,7426,73276400,0.971538,27907.34375,273614
2015-12-14,295330.643568,15550,72176400,0.95662,26708.59375,563436
2015-12-15,530148.996251,21098,74764100,0.990589,27014.53125,578618
2015-12-16,1487852.0122,10304,76791600,1.02,26457.34375,320767
2015-12-17,436397.955235,9612,74999300,0.993043,26883.125,640765
2015-12-18,222674.418259,9032,70890600,0.938327,26671.5625,300787
2015-12-19,209991.868058,9314,69644200,0.921524,26694.53125,343535
2015-12-20,186642.323376,9879,68663100,0.90824,26436.09375,472164
2015-12-21,212202.911658,12063,68521200,0.906065,26457.8125,549113
2015-12-22,212682.964372,21027,67704600,0.894973,27374.375,454249
2015-12-23,123611.752227,22740,65215800,0.861782,27399.375,334993
2015-12-24,107928.876868,13494,6506e4,0.859433,26686.5625,354646
2015-12-25,59140.3897664,9521,65275400,0.861993,26803.59375,187114
2015-12-26,126471.211799,10726,65961900,0.870766,26560.15625,425282
2015-12-27,67737.4421267,21867,6465e4,0.853166,26853.75,164565
2015-12-28,378468.743886,12368,64913200,0.856356,27057.96875,235134
2015-12-29,241549.827882,11358,63985600,0.843835,26661.09375,215742
2015-12-30,188129.281731,21767,66314200,0.874258,26736.25,604078
2015-12-31,355305.072598,10301,69207400,0.912098,26908.28125,663994
2016-01-01,321708.374938,8233,70870900,0.933712,26070.3125,206062
2016-01-02,245604.244705,9164,71933100,0.947401,27383.90625,255504
