date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
2017-11-16,12852261.2203,5090,0.0,161.87,27949200.0,1887.49999985,0.698799899998,null,
2017-11-17,18768115.9329,5059,0.0,138.75,24935100.0,1799.99999984,4.38828602,null,
2017-11-18,17648111.525,5993,0.0,153.07,24642900.0,1887.49999996,4.04755235,null,
2017-11-19,17580055.2668,4636,0.0,154.91,19503400.0,1699.99999996,0.930306299992,null,
2017-11-20,127876884.637,14294,0.0,135.2,93826900.0,1912.5,6.37463480003,null,
2017-11-21,246197713.661,25481,0.0,250.85,370782000.0,2137.49999996,11.06228395,null,
2017-11-22,181608640.722,11965,0.0,264.18,111451000.0,1812.5,8.03925190995,null,
2017-11-23,92479311.5736,10930,0.0,241.97,154038000.0,1924.99999991,7.84789094001,null,
2017-11-24,381428274.724,22061,0.0,295.75,537472000.0,1962.5,7.23566479999,null,
2017-11-25,381399562.437,13333,0.0,394.04,208662000.0,1800.0,3.79134717001,null,
2017-11-26,440297512.649,15488,5930460000.0,355.72,141228000.0,1837.49999999,3.49975986001,null,
2017-11-27,413057362.076,11717,6172140000.0,370.18,129160000.0,1899.99999994,2.89751696,null,
2017-11-28,183434497.771,9906,5992370000.0,359.36,101004000.0,1787.49999999,1.86211841,null,
2017-11-29,162558604.487,9679,5493510000.0,329.4,252313000.0,1987.49999997,2.03023923,null,
2017-11-30,94074259.5819,5924,4909140000.0,294.33,151331000.0,1899.99999999,1.35363791,null,
2017-12-01,115624049.213,5667,5076660000.0,304.34,134598000.0,1924.99999999,1.21715588,null,
2017-12-02,89979171.232,5800,5196890000.0,311.51,88196700.0,1799.99999999,1.10406844,null,
2017-12-03,82962747.3569,6328,4986080000.0,298.84,252844000.0,1937.49999999,1.38404888,null,
2017-12-04,99461008.8489,5483,5373320000.0,322.01,130453000.0,1824.99999998,1.12656662,null,
2017-12-05,111911815.482,5519,5498370000.0,329.47,113206000.0,1837.49999998,1.17269512,null,
2017-12-06,97049989.5556,6546,5101520000.0,305.66,156602000.0,1600.0,1.2888388,null,
2017-12-07,92647917.9633,5394,4657540000.0,279.03,137885000.0,1924.99999996,1.28959173,null,
2017-12-08,71007139.6576,5119,4235360000.0,253.71,178502000.0,1699.99999993,1.18202936,null,
2017-12-09,86420866.2165,4736,4354930000.0,260.84,105017000.0,1874.9999999,1.7118588,null,
2017-12-10,59628978.6591,4418,4090460000.0,244.97,140891000.0,1737.4999999,1.02467348,null,
2017-12-11,86350285.1963,5425,3829550000.0,229.33,265127000.0,1924.99999993,1.74647184,null,
2017-12-12,56091240.2418,6687,4247980000.0,254.35,205849000.0,1874.99999987,2.13936087,null,
2017-12-13,61254489.019,6805,4611860000.0,276.11,221863000.0,1824.99999989,1.93893682,null,
2017-12-14,105987032.262,6604,4534150000.0,271.43,467875000.0,1874.99999991,1.59085631,null,
2017-12-15,82338977.304,5258,5293820000.0,316.87,175999000.0,1787.49999989,1.32099984,null,
2017-12-16,49736841.2436,5714,4963500000.0,297.06,136415000.0,1924.99999991,1.2325521,null,
2017-12-17,66839189.3924,5877,4973110000.0,297.61,120807000.0,1774.99999992,1.56894457,null,
2017-12-18,110896789.73,6117,5013620000.0,300.0,313797000.0,1837.49999989,1.83484248,null,
2017-12-19,76190609.6825,6659,5345270000.0,319.81,413363000.0,1924.99999999,1.53137232,null,
2017-12-20,151621749.968,9382,5923720000.0,354.38,983169000.0,1874.99999993,2.27443327,null,
2017-12-21,126852855.092,7009,7518780000.0,449.75,352178000.0,1924.99999992,1.50092579,null,
2017-12-22,105966978.892,4881,6962700000.0,416.44,313313000.0,1712.49999995,1.1429871,null,
2017-12-23,33035417.6538,4557,5162850000.0,308.76,217778000.0,1862.49999997,0.84882892,null,
2017-12-24,38402915.7745,3443,5594770000.0,334.55,144898000.0,1924.99999993,0.651791630002,null,
2017-12-25,45792115.5458,3659,5142770000.0,307.49,104619000.0,1899.99999993,0.82478433,null,
2017-12-26,44489195.8023,3782,5115710000.0,305.83,110025000.0,1812.49999999,0.729221489992,null,
2017-12-27,24551765.6978,4690,5145590000.0,307.59,135077000.0,1837.49999999,0.858720619999,null,
2017-12-28,31042904.7718,4054,5333490000.0,318.78,134169000.0,1937.49999996,0.74959362,null,
2017-12-29,30500872.4694,4268,4781710000.0,285.77,114615000.0,1887.49999997,0.575671600007,null,
2017-12-30,38916587.6369,3911,4704380000.0,281.12,96001300.0,1824.99999997,0.621601399996,null,
2017-12-31,20897502.7232,3364,4186100000.0,250.12,78952100.0,1762.49999998,0.408964829998,null,
2018-01-01,42951150.9061,3395,4379180000.0,261.63,143836000.0,1849.99999995,0.629647330002,null,
2018-01-02,47638608.0123,4094,4610460000.0,275.42,117571000.0,1862.49999995,0.933820059998,null,
2018-01-03,52507778.7486,4583,4622800000.0,276.12,106643000.0,1774.99999999,0.933115280001,null,
2018-01-04,48970527.2975,4702,4561520000.0,272.43,136988000.0,1924.99999999,0.920138850002,null,
2018-01-05,56313165.2997,4049,4598030000.0,274.58,175165000.0,1737.49999998,0.85264457,null,
