date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
2014-02-17,325760.284113,2631,1360260.0,0.406039,178618.0,15940.0,2.82708248,3608,
2014-02-18,846556.542731,2551,3960320.0,1.18,160779.0,13548.0,2.3635103,3724,
2014-02-19,199690.731235,2354,3497850.0,1.04,60551.0,13647.0,2.01676346,3263,
2014-02-20,256291.001322,2058,3196180.0,0.941944,93281.0,13649.0,1.96045798,3006,
2014-02-21,116947.418199,2086,3590320.0,1.05,83008.0,13145.0,1.7273869,3175,
2014-02-22,376515.882043,2308,3833460.0,1.12,101024.0,12638.0,1.72937083,3435,
2014-02-23,426748.711727,2275,3945250.0,1.15,115234.0,12845.0,1.84767328,3737,
2014-02-24,1248609.53651,2327,4082000.0,1.18,109256.0,12904.0,3.35293013,4079,
2014-02-25,771487.299343,2203,2902860.0,0.839383,69493.0,12683.0,1.7752096,3498,
2014-02-26,697623.306777,1991,2153440.0,0.620399,49321.0,12851.0,2.51096324,3101,
2014-02-27,353628.068862,1748,2148350.0,0.616643,15148.0,13735.0,2.10231798,2742,
2014-02-28,202777.493508,1697,2163860.0,0.618662,60517.0,13530.0,1.51229179,2706,
2014-03-01,404139.489929,2202,1929800.0,0.549616,252311.0,13223.0,2.61194146,3590,
2014-03-02,1101462.91372,2373,3298980.0,0.936036,148259.0,12131.0,2.72228333,3770,
2014-03-03,315294.760757,2641,3651050.0,1.03,271197.0,12409.0,2.97333854,4247,
2014-03-04,302910.723277,2250,4283970.0,1.21,90550.0,12457.0,3.05792366,3669,
2014-03-05,650713.359196,2319,3515760.0,0.987192,93138.0,11960.0,2.50435306,3694,
2014-03-06,665765.224309,2342,3692890.0,1.03,68896.0,12374.0,2.78243028,3635,
2014-03-07,652222.887824,2192,3787000.0,1.06,112877.0,12112.0,3.35926835,3411,
2014-03-08,220048.70158,2169,3285680.0,0.911867,70281.0,12289.0,2.22247301,3441,
2014-03-09,77370.4683175,2155,3296790.0,0.913189,48781.0,12138.0,2.21135685,3498,
2014-03-10,216479.369997,1964,3159030.0,0.872114,45946.0,11735.0,1.82931886,3158,
2014-03-11,208603.184039,2194,2934810.0,0.807598,42234.0,11890.0,2.22846024,3444,
2014-03-12,87125.9313417,2117,3238290.0,0.888208,39530.0,11872.0,2.31378429,3434,
2014-03-13,101922.903668,2135,3166030.0,0.865569,31123.0,12427.0,2.05663358,3442,
2014-03-14,76438.6572024,2392,3057150.0,0.83338,26274.0,11931.0,2.29987776,3695,
2014-03-15,42459.8669293,1846,2979000.0,0.812077,30817.0,11900.0,1.97059852,3052,
2014-03-16,237175.661708,1951,2924440.0,0.791673,39429.0,12227.0,2.13373561,3212,
2014-03-17,181156.657944,1845,2863030.0,0.772496,34416.0,11948.0,2.32474566,3020,
2014-03-18,161130.367769,1936,2897450.0,0.77927,39252.0,12033.0,1.79335379,3065,
2014-03-19,160356.132379,1891,2800990.0,0.750897,35742.0,11841.0,1.69461168,3016,
2014-03-20,339225.309841,1757,2781320.0,0.743256,42290.0,11703.0,1.41302348,2879,
2014-03-21,54128.8392152,1774,2719600.0,0.724498,28087.0,12010.0,1.51820531,2818,
2014-03-22,135934.672309,1820,2652100.0,0.704266,24618.0,12050.0,1.58883313,2886,
2014-03-23,72075.1401531,1852,2703390.0,0.715596,34977.0,11807.0,1.85235113,3007,
2014-03-24,104831.65595,2212,2727950.0,0.719851,136677.0,11466.0,2.64496362,3774,
2014-03-25,72572.1624235,2082,3302840.0,0.868912,78095.0,11209.0,2.02580276,3483,
2014-03-26,66426.3753607,1959,3124140.0,0.819494,39790.0,10782.0,2.03186693,3315,
2014-03-27,74450.7693132,1874,3305920.0,0.864728,32991.0,11091.0,1.68482459,3239,
2014-03-28,57190.7667111,1670,2653470.0,0.692062,27851.0,10957.0,1.53328678,2899,
2014-03-29,43279.2248499,1384,2727370.0,0.709294,23667.0,10753.0,1.39914609,2515,
2014-03-30,79027.2695818,1525,2731140.0,0.708306,30985.0,10518.0,1.56430547,3035,
2014-03-31,41011.4211678,1583,2571600.0,0.665123,15608.0,10852.0,1.55831983,2841,
2014-04-01,75302.7435962,1670,2488370.0,0.641783,36211.0,10451.0,1.7176344,2943,
2014-04-02,61260.1288365,1520,2819600.0,0.725259,21722.0,10402.0,1.65569262,2806,
2014-04-03,29655.835645,1475,2393680.0,0.614065,18610.0,10337.0,1.36203981,2653,
2014-04-04,34520.3038162,1526,2502840.0,0.640371,11863.0,10932.0,1.48732645,2692,
2014-04-05,36898.3897533,1410,2509580.0,0.640305,28674.0,10603.0,1.2655482,2621,
2014-04-06,55880.5546242,1503,2754220.0,0.700828,13167.0,10570.0,1.45106149,2691,
2014-04-07,76389.0762719,1500,2552670.0,0.6478,45233.0,11285.0,1.25494793,2727,
2014-04-08,79315.1378525,1527,2395150.0,0.606079,21411.0,10256.0,1.65406015,2661,
2014-04-09,31495.7157866,1563,2390830.0,0.603431,9604.0,10668.0,1.62338339,2673,
2014-04-10,33409.6297451,1591,2334430.0,0.587616,16417.0,10474.0,1.91412245,2696,
2014-04-11,51284.642182,1680,1807350.0,0.453743,18946.0,10683.0,1.84505712,2839,
2014-04-12,25578.1462053,1510,2191980.0,0.548831,18959.0,10408.0,2.27300324,2725,
2014-04-13,27384.5455895,1458,2291840.0,0.572342,15789.0,10911.0,1.81661293,2596,
2014-04-14,60175.7520068,1629,2164120.0,0.538982,29214.0,10800.0,1.96132042,2883,
2014-04-15,38472.2291132,1444,2367280.0,0.587995,28751.0,11021.0,2.47793058,2686,
2014-04-16,62194.4309376,1564,2647720.0,0.655849,23860.0,11153.0,1.88216745,2789,
2014-04-17,74780.964198,1391,2662660.0,0.657735,19435.0,10886.0,1.78833568,2463,
2014-04-18,1162215.89479,2139,2509430.0,0.618219,293384.0,10912.0,3.62991491,4083,
2014-04-19,131445.015565,1568,3232440.0,0.794215,57416.0,10917.0,1.67804976,2951,
2014-04-20,84426.9132864,1598,3050050.0,0.747391,30229.0,10954.0,1.97277091,2798,
2014-04-21,115601.394948,1702,2955240.0,0.722222,29266.0,11413.0,1.75753075,2927,
2014-04-22,118153.97411,1882,2903710.0,0.707657,72972.0,11097.0,2.07368011,3360,
2014-04-23,198721.3691,2069,2973610.0,0.722732,196373.0,10362.0,3.65910001,3772,
2014-04-24,392524.597805,2173,3596660.0,0.871977,329106.0,10258.0,2.6540028,4193,
2014-04-25,612246.175577,2319,4372240.0,1.06,794049.0,9212.0,5.0191109,5410,
2014-04-26,1877842.17036,2557,7094160.0,1.71,1204200.0,8403.0,4.96285791,5258,
2014-04-27,433967.497748,2305,7054200.0,1.7,509028.0,7914.0,2.66981718,4700,
2014-04-28,140789.283978,2301,6957830.0,1.67,198793.0,7809.0,2.68481032,4618,
2014-04-29,225519.949016,1645,6952590.0,1.67,302458.0,8044.0,1.98769172,3423,
2014-04-30,276097.467239,2100,6827410.0,1.63,38202.0,8024.0,2.4961588,4302,
2014-05-01,340603.2711,2057,6438560.0,1.54,232684.0,7758.0,2.55548372,4468,
2014-05-02,328190.213302,1889,6343910.0,1.51,171901.0,8016.0,2.26916824,4207,
