date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
2016-02-13,49414.2522803,1304,0.0,1.31,37094.0,6180.52334104,64.88115,3004,
2016-02-14,59569.9486903,1687,0.0,1.13,15138.0,5099.27581632,97.9489,3985,
2016-02-15,62681.264847,1848,0.0,1.18,45922.0,5358.33006,100.9396,3650,
2016-02-16,52903.1713536,1957,0.0,1.36,59303.0,8515.9195128,109.72655,3014,
2016-02-17,42094.6245037,1452,0.0,1.48,41295.0,6082.28557648,75.7706,3413,
2016-02-18,32299.9438327,1236,0.0,1.58,31431.0,5833.6715828,62.33965,2568,
2016-02-19,27812.7515834,970,0.0,1.43,18000.0,5889.38944008,50.29595,2261,
2016-02-20,107357.187585,5184,0.0,1.45,23922.0,6396.82753472,110.6219,6611,
2016-02-21,38238.11398,2977,0.0,1.55,27627.0,6808.72100669,151.2717,7603,
2016-02-22,274919.877139,3333,0.0,1.66,61298.0,6706.36962645,184.43445,10371,
2016-02-23,492949.89583,5539,1629160.0,1.74,90550.0,8192.11293721,281.4661,17464,
2016-02-24,335873.077685,5946,1804250.0,1.91,133621.0,10253.6407022,301.89140401,18857,
2016-02-25,819101.463795,2784,2554480.0,2.67,138725.0,8462.28408567,156.231951,7902,
2016-02-26,382368.981665,2069,2339830.0,2.43,48829.0,7763.59092024,107.5343,7346,
2016-02-27,340850.409124,1426,2361910.0,2.43,46765.0,7884.78790149,78.0255,6165,
2016-02-28,144384.189313,2333,2121660.0,2.17,29047.0,9515.78535448,120.852196,10258,
2016-02-29,81284.1494369,2578,2211740.0,2.24,39208.0,8362.15700931,112.10443004,8778,
2016-03-01,397948.633615,2589,2056790.0,2.06,69219.0,8787.73083042,119.92925001,8330,
2016-03-02,292328.48677,1187,1708010.0,1.7,40583.0,7769.34821852,67.35760003,5446,
2016-03-03,5726621.14732,3062,1719390.0,1.7,37621.0,9614.88521881,144.82320103,10602,
2016-03-04,806516.650695,1225,1764430.0,1.72,17233.0,7838.469114,47.45740002,4819,
2016-03-05,192279.913128,2532,1791290.0,1.74,27323.0,8960.76870985,136.877051,11988,
2016-03-06,353734.821361,2292,1778700.0,1.71,37126.0,8570.88071123,104.28184565,9077,
2016-03-07,466304.026129,2055,2143660.0,2.04,34234.0,8595.95733679,90.68955004,7458,
2016-03-08,587930.297656,2534,2292010.0,2.17,29222.0,8671.55253374,99.99215002,7493,
2016-03-09,884200.43921,1538,2460340.0,2.31,82286.0,8084.26728006,55.06405012,5794,
2016-03-10,738819.064654,2712,2663650.0,2.48,35050.0,10057.9973898,97.99185007,12873,
2016-03-11,2329236.85502,1008,2517010.0,2.32,51701.0,7683.75471744,40.722717,5565,
2016-03-12,346860.294891,2676,2505580.0,2.29,51006.0,8395.93863181,103.24930101,10736,
2016-03-13,68429.5548845,1523,2512840.0,2.28,22474.0,8065.17039583,67.95180007,9172,
2016-03-14,1077866.05843,1964,2642520.0,2.38,48534.0,8917.32209986,76.88260111,7972,
2016-03-15,484153.879525,2749,2709920.0,2.43,41795.0,9690.23800373,93.90068602,10545,
2016-03-16,121197.825925,1625,2727830.0,2.42,38186.0,7330.40241109,63.74622803,7548,
2016-03-17,161836.524604,1768,2979350.0,2.63,23704.0,9178.73680433,57.13187402,7505,
2016-03-18,492545.053147,1862,2868020.0,2.51,20667.0,9746.98523431,48.59325206,8607,
2016-03-19,133285.731365,2800,2804530.0,2.43,21945.0,8176.13423972,114.13471605,12276,
2016-03-20,125593.922488,1480,2676350.0,2.31,20628.0,8617.24015838,38.51825411,5218,
2016-03-21,193769.169001,1911,2551440.0,2.18,14562.0,8033.22038408,70.66059607,9255,
2016-03-22,575001.26267,1887,2582630.0,2.19,19899.0,8824.37793191,58.81897611,7242,
2016-03-23,225834.936345,2807,2530960.0,2.13,15242.0,9190.56113838,86.73066201,11656,
2016-03-24,201414.678815,1163,2442810.0,2.04,17730.0,7687.31533594,41.60321409,5727,
2016-03-25,301670.873905,2200,2311280.0,1.92,14750.0,9019.29239945,102.75706303,12070,
2016-03-26,139613.428569,2624,2487230.0,2.05,25084.0,9032.17495197,86.81211313,10258,
2016-03-27,318147.734659,1226,2821080.0,2.31,25734.0,9216.74810224,144.5371601,4961,
2016-03-28,127974.078316,2521,2552280.0,2.07,17492.0,8151.60284304,109.0665511,13696,
2016-03-29,358018.434364,1566,2549430.0,2.06,17297.0,8218.79916288,54.82602409,6564,
2016-03-30,96821.9874323,1593,2593780.0,2.08,10261.0,9423.89643111,54.53398007,7138,
2016-03-31,225594.797376,2572,2717130.0,2.16,18322.0,8211.69697366,99.5632322,11040,
2016-04-01,82316.9512958,1363,2493460.0,1.97,10215.0,8952.91129742,97.6525141,7640,
2016-04-02,215942.971574,2227,2464570.0,1.93,11825.0,8854.47873252,78.79003004,12460,
2016-04-03,340420.820473,2566,2513210.0,1.96,11890.0,8591.529128,98.92028015,13280,
2016-04-04,297535.219123,1785,2527700.0,1.96,14314.0,8138.12753259,50.16975629,6765,
2016-04-05,89920.5205406,1158,2447100.0,1.88,25092.0,8378.92115846,28.03271205,4787,
2016-04-06,104950.204876,1668,2287820.0,1.75,14643.0,7845.38792551,59.22207863,8903,
2016-04-07,82141.6773528,2407,2301380.0,1.75,13286.0,10229.9392894,85.82810269,11572,
2016-04-08,70390.7649591,2726,2312480.0,1.74,12918.0,8235.98785418,118.20694025,12565,
2016-04-09,47610.5071257,1359,2351500.0,1.76,18126.0,7815.10276846,50.93496709,6561,
2016-04-10,73838.1318999,2653,2160940.0,1.61,20144.0,8725.96936285,109.38845349,15150,
2016-04-11,89517.9349078,2110,1989440.0,1.47,13226.0,8411.0963283,60.65558897,8339,
2016-04-12,42227.4061718,913,1994280.0,1.47,17348.0,9101.37070437,35.53581794,6408,
2016-04-13,58966.2598287,3868,2158110.0,1.58,9428.0,8286.52456416,157.13190127,16343,
2016-04-14,94952.3319032,1355,2113850.0,1.54,7486.0,9416.44441091,22.63812665,5522,
