date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
2014-02-09,55753.8173008,8516,459068.0,0.001002,10833.0,11600000.0,31.56536218,10043,
2014-02-10,41764.9368282,6627,433122.0,0.000922,11933.0,8848000.0,21.22549271,7999,
2014-02-11,32458.0426723,5983,389480.0,0.000814,9887.0,9088000.0,21.3509783,7225,
2014-02-12,46130.8209536,7603,365933.0,0.00075,6811.0,10992000.0,33.97024987,8920,
2014-02-13,43697.3371025,4866,347059.0,0.000696,12022.0,10640000.0,20.16315742,6382,
2014-02-14,32871.9069928,5218,366501.0,0.00072,5174.0,10944000.0,15.07988822,6472,
2014-02-15,34649.6101034,4081,365462.0,0.000702,8748.0,10120000.0,17.17973035,5491,
2014-02-16,26694.0920701,4581,317137.0,0.000598,5770.0,9952000.0,16.27698623,5944,
2014-02-17,26661.3996563,4174,329260.0,0.000609,6797.0,10144000.0,12.06885934,5463,
2014-02-18,14152.4474621,3093,274737.0,0.000499,4900.0,8688000.0,12.92599395,4337,
2014-02-19,14807.3508233,2625,246478.0,0.000441,3754.0,8576000.0,19.39829148,3828,
2014-02-20,15726.9213256,3627,232050.0,0.000409,4076.0,11408000.0,11.31988866,4817,
2014-02-21,8180.33649379,2307,212831.0,0.000367,4896.0,8640000.0,10.2419329,3346,
2014-02-22,7906.44716606,2686,203333.0,0.000346,3748.0,9640000.0,12.79074691,3826,
2014-02-23,11071.4077008,2982,204913.0,0.000343,2152.0,11312000.0,20.32835401,4140,
2014-02-24,16898.4390486,3545,223660.0,0.000367,1230.0,10968000.0,21.04014545,4736,
2014-02-25,10357.61467,3627,204226.0,0.00033,1633.0,11008000.0,19.78475559,5015,
2014-02-26,13443.2772801,3206,193639.0,0.000307,4272.0,11272000.0,17.6531349,4570,
2014-02-27,32519.0881294,3702,226763.0,0.000353,25378.0,11640000.0,39.28276735,5832,
2014-02-28,26655.9378327,3568,312485.0,0.000478,19334.0,11022000.0,29.48728504,5255,
2014-03-01,14758.4834657,2782,261427.0,0.000394,4566.0,8580880.0,11.04172488,4098,
2014-03-02,9160.20451047,2636,264792.0,0.000393,3116.0,8501280.0,8.50153541,3704,
2014-03-03,8917.82477889,2102,212212.0,0.000311,8411.0,7442600.0,11.96951065,3241,
2014-03-04,8413.83775051,2503,254884.0,0.00037,2646.0,8238600.0,7.31015454,3539,
