date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
2013-05-01,76374202.7997,8990,73901200.0,4.29,0.0,31699.9795,639.97236699,16991,
2013-05-02,11631506.3398,8031,65242700.0,3.78,0.0,26150.0,528.80359447,15769,
2013-05-03,4632241.48783,6280,58607400.0,3.39,0.0,19900.0,375.72909058,12956,
2013-05-04,5725030.20416,6168,52476400.0,3.03,0.0,20875.0,374.67043752,12377,
2013-05-05,6579465.33848,5948,60525000.0,3.49,0.0,22100.0,317.3529699,12245,
2013-05-06,13489738.1338,10636,62356000.0,3.59,0.0,31850.0,745.33360305,18244,
2013-05-07,9082297.71815,8712,58588300.0,3.37,0.0,37925.0,450.48121143,16710,
2013-05-08,6748147.05307,9035,57196300.0,3.28,0.0,36500.0,496.3183591,16851,
2013-05-09,9291190.98695,12776,59337100.0,3.4,0.0,37050.0,944.55579909,20459,
2013-05-10,8136961.73222,10503,59588000.0,3.41,0.0,37000.0,709.35641404,18054,
2013-05-11,18682243.087,7000,60658000.0,3.46,0.0,31300.0,405.24961215,14207,
2013-05-12,8487885.82351,6924,59052900.0,3.36,0.0,30750.0,377.1173053,13924,
2013-05-13,7021996.48932,6596,57363200.0,3.26,0.0,28850.0,355.15999469,13620,
2013-05-14,7571576.1921,7218,57812000.0,3.28,0.0,29550.0,406.67410524,14370,
2013-05-15,6523932.12534,6500,49842500.0,2.82,0.0,27900.0,366.73639193,13301,
2013-05-16,6475101.89961,7434,51790900.0,2.93,0.0,28500.0,465.7979844,14608,
2013-05-17,6079749.17498,6638,51195900.0,2.89,0.0,26700.0,384.78127068,13148,
2013-05-18,5818653.76478,5660,56721100.0,3.2,0.0,27525.0,301.13206803,11868,
2013-05-19,5637138.59851,5590,58645400.0,3.3,0.0,27150.0,275.62697121,11892,
2013-05-20,5155162.31399,6375,58962900.0,3.31,0.0,27400.0,367.03841859,13264,
2013-05-21,6715033.98898,6248,56887600.0,3.19,0.0,26900.0,361.07769011,12779,
2013-05-22,6188331.01866,5319,55165300.0,3.09,0.0,27900.0,279.27636353,11279,
2013-05-23,6864769.9128,5939,55727000.0,3.12,0.0,30950.0,329.20237443,12400,
2013-05-24,7931107.21655,5997,56747200.0,3.17,0.0,32799.92,350.30271943,12545,
2013-05-25,6206968.65762,5080,57165800.0,3.19,0.0,31350.0,294.10036371,11082,
2013-05-26,6052556.6838,5138,56123900.0,3.12,0.0,28500.0,295.79404855,11330,
2013-05-27,5972393.05828,4880,58130800.0,3.23,0.0,28000.0,242.39658365,10639,
2013-05-28,5568496.49434,5115,55916500.0,3.1,0.0,29150.0,248.42685418,11265,
2013-05-29,5351765.53046,5065,55814300.0,3.09,0.0,29450.0,260.31382668,10978,
2013-05-30,6479936.58865,5250,55640200.0,3.08,0.0,30700.0,288.95641956,11319,
2013-05-31,6273037.66195,5100,53813700.0,2.97,0.0,30000.0,246.78050295,11152,
2013-06-01,5622721.10498,4260,53372200.0,2.94,0.0,28400.0,224.54032723,9551,
2013-06-02,4943299.64706,4495,51378100.0,2.83,0.0,28350.0,220.72951435,9833,
2013-06-03,5081184.22889,4544,49688400.0,2.73,0.0,28050.0,242.6769938,10093,
2013-06-04,4479206.90876,4539,49268800.0,2.7,0.0,26950.0,252.17691073,10219,
2013-06-05,5414929.16901,4655,52338100.0,2.87,0.0,30100.0,279.34608761,10256,
2013-06-06,4458967.79232,4544,52595600.0,2.88,0.0,29350.0,226.14636975,9974,
2013-06-07,6934174.96927,4810,50890900.0,2.78,0.0,32899.96,305.38194828,10491,
2013-06-08,4628927.47728,4443,47770700.0,2.6,0.0,32350.0,243.59449706,9718,
2013-06-09,4497981.56807,5104,46911500.0,2.55,0.0,27700.0,267.23149015,10867,
2013-06-10,6152885.27416,5420,43883900.0,2.38,0.0,28700.0,300.08676012,11335,
2013-06-11,4578090.98456,4798,45951500.0,2.49,0.0,28150.0,300.04043704,13820,
2013-06-12,4430416.16819,4529,44532400.0,2.41,0.0,31850.0,246.10500527,9981,
2013-06-13,4112141.48369,4606,44356700.0,2.4,0.0,30950.0,252.46542204,10152,
2013-06-14,5783769.75952,4796,42035700.0,2.27,0.0,32400.0,245.70830626,10605,
2013-06-15,3039616.85975,3496,39693000.0,2.14,0.0,23300.0,183.52326069,8433,
2013-06-16,2934486.90124,3529,38754600.0,2.09,0.0,23800.0,194.06688208,8319,
2013-06-17,3407879.17509,4037,39791100.0,2.14,0.0,26100.0,222.51310987,9134,
2013-06-18,3427596.14316,4325,42507000.0,2.28,0.0,30950.0,256.7190165,10244,
2013-06-19,4000483.43718,4841,43009600.0,2.3,0.0,36050.0,267.52960579,10320,
2013-06-20,2831940.83968,3889,42968900.0,2.3,0.0,34350.0,166.34649351,9449,
2013-06-21,2612889.84004,4647,43568400.0,2.33,0.0,29300.0,154.54772595,11222,
2013-06-22,2494332.22635,5390,53719800.0,2.86,0.0,27550.0,158.43997506,12758,
2013-06-23,3033158.94309,4360,54440600.0,2.9,0.0,31550.0,100.57333812,10445,
2013-06-24,3200081.38806,4337,58990400.0,3.13,0.0,31200.0,106.59959339,10491,
2013-06-25,5253666.74185,4255,53693400.0,2.85,0.0,27850.0,110.71020465,10327,
2013-06-26,5411743.66545,4867,52981700.0,2.81,0.0,32500.0,151.05454123,10858,
2013-06-27,4733006.49214,4656,54479500.0,2.88,0.0,31000.0,130.01285778,11110,
2013-06-28,4693202.08418,4217,57524700.0,3.04,0.0,29550.0,97.38046828,11050,
2013-06-29,4085152.70552,3905,52385700.0,2.76,0.0,30700.0,84.99125029,9832,
2013-06-30,4192363.78424,3754,52983200.0,2.79,0.0,28100.0,85.51194652,9996,
2013-07-01,5176320.2357,5367,57266300.0,3.01,0.0,31250.0,147.63662621,12893,
2013-07-02,4534383.99542,4961,56226500.0,2.95,0.0,31700.0,78.71211086,12137,
2013-07-03,4069976.44013,5444,54356500.0,2.85,0.0,30100.0,97.69486939,12911,
2013-07-04,4180200.24464,4369,51159000.0,2.68,0.0,31150.0,64.47557223,11461,
2013-07-05,3805224.73454,4008,51849500.0,2.71,0.0,25600.0,55.43536226,10494,
2013-07-06,3303776.25635,3451,46474600.0,2.42,0.0,25750.0,67.51857395,9602,
2013-07-07,3087437.00321,4039,47204600.0,2.46,0.0,28850.0,58.61388636,10079,
