date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
2016-02-16,436.516245024,417,2440.0,0.000436,218.0,344000.0,0.10231082,645,
2016-02-17,476.506916439,325,3949.0,0.000664,460.0,342750.0,0.05817635,476,
2016-02-18,3196.46643231,558,4724.0,0.000758,227.0,342500.0,0.09416589,835,
2016-02-19,1704.98392683,399,5195.0,0.00079,358.0,341500.0,0.06403272,603,
2016-02-20,540.477905318,384,5985.0,0.000866,706.0,340750.0,0.06346842,645,
2016-02-21,2243.73430043,551,10850.0,0.001495,631.0,342750.0,0.07994286,834,
2016-02-22,855.68442344,452,12600.0,0.001658,831.0,342500.0,0.07057269,824,
2016-02-23,2307.88321127,541,15811.0,0.001991,6330.0,345500.0,0.1313087,1010,
2016-02-24,2997.89230902,602,31767.0,0.003833,3331.0,336750.0,0.05764056,989,
2016-02-25,1535.51011532,370,21762.0,0.002523,1194.0,345000.0,0.05274336,781,
2016-02-26,1324.2235941,353,21135.0,0.002357,959.0,339750.0,0.05452106,722,
2016-02-27,1010.15169087,328,16312.0,0.001752,1298.0,342500.0,0.05521689,735,
2016-02-28,1255.32031146,292,21459.0,0.002224,2337.0,342500.0,0.07310916,684,
2016-02-29,836.383019639,286,23508.0,0.002352,887.0,343250.0,0.0414851,654,
2016-03-01,1222.06399921,583,23634.0,0.002286,1269.0,341250.0,0.09771893,1040,
2016-03-02,8024.41599049,874,20111.0,0.001884,1590.0,342000.0,0.29934824,1477,
2016-03-03,9861.18717096,1143,31475.0,0.002856,3534.0,344500.0,0.61586896,1684,
2016-03-04,7580.0708221,1024,53754.0,0.00473,1554.0,342000.0,0.49117194,1547,
2016-03-05,4701.07638083,1050,92453.0,0.007897,1251.0,342500.0,0.27059717,1524,
2016-03-06,6446.71312119,778,102398.0,0.008498,13020.0,340250.0,0.25399627,1263,
2016-03-07,34636.388476,726,79106.0,0.006385,10671.0,341500.0,0.37234847,1232,
2016-03-08,4586.96123731,634,67295.0,0.005286,5643.0,342750.0,0.18606645,1043,
2016-03-09,4640.88898412,706,62217.0,0.004759,3399.0,342250.0,0.22360047,1328,
2016-03-10,7047.20228922,954,54157.0,0.004037,4297.0,342750.0,0.24665889,1690,
2016-03-11,4520.18636106,903,56238.0,0.004087,3308.0,343500.0,0.34784422,1391,
2016-03-12,5356.73294572,1120,59734.0,0.004236,2997.0,343500.0,0.49435732,1761,
2016-03-13,3732.98727873,1124,63056.0,0.004365,2685.0,341750.0,0.57075544,1696,
2016-03-14,5677.14731497,1325,67642.0,0.004574,5665.0,342750.0,0.7194302,2019,
2016-03-15,9383.65975802,924,86998.0,0.00575,5402.0,341750.0,0.56292082,1661,
2016-03-16,9812.67972378,1131,74894.0,0.004841,2948.0,342000.0,0.3462555,1774,
2016-03-17,3407.72181786,1070,80028.0,0.005061,3154.0,343750.0,0.26487258,2346,
2016-03-18,5308.9541008,1204,82694.0,0.005118,4615.0,341750.0,0.7374063,2365,
2016-03-19,7162.15111303,1676,94376.0,0.00572,3682.0,341750.0,0.4881034,3161,
2016-03-20,14240.6010049,1495,104582.0,0.00621,5692.0,342000.0,1.3716173,3689,
2016-03-21,8138.89280039,1281,116447.0,0.006777,4140.0,341500.0,0.20627785,2640,
2016-03-22,5248.12445925,1185,99672.0,0.005687,3635.0,342000.0,0.3496848,2880,
2016-03-23,6886.99199166,1125,100474.0,0.005624,4352.0,340500.0,0.42399716,2517,
2016-03-24,3587.38207425,1248,97271.0,0.005343,2534.0,343500.0,0.43482571,2558,
2016-03-25,5078.06995761,1032,90186.0,0.004862,3528.0,342250.0,0.5508776,2487,
2016-03-26,10122.3391379,1118,100126.0,0.0053,2635.0,341750.0,0.20287716,1911,
2016-03-27,5080.29496288,1017,93479.0,0.00486,2155.0,342750.0,0.49650993,2130,
2016-03-28,5134.44874117,976,85245.0,0.004354,3363.0,340000.0,1.13018009,2065,
2016-03-29,4073.17400803,912,64747.0,0.003251,3185.0,343250.0,0.54989652,2158,
2016-03-30,3090.12167184,1004,70944.0,0.003502,1415.0,341750.0,0.69084572,2073,
2016-03-31,2176.47123074,1136,74288.0,0.003606,1406.0,336750.0,0.20989851,2441,
2016-04-01,4408.8490958,1230,73733.0,0.003521,2373.0,342250.0,4.02440328,2443,
2016-04-02,2711.76188409,1330,71503.0,0.00336,2202.0,343750.0,0.72975078,2510,
2016-04-03,7608.94817545,1092,73843.0,0.003415,15801.0,1308025.0,0.49099624,2252,
2016-04-04,11002.4109513,707,120389.0,0.005489,7047.0,308250.0,0.16202935,1965,
2016-04-05,2192.66838481,666,103301.0,0.004644,2576.0,307350.0,0.17117442,2387,
2016-04-06,7833.0114654,611,104719.0,0.004644,2921.0,305550.0,0.20997819,1701,
2016-04-07,5065.03003538,657,84223.0,0.003685,2273.0,306225.0,0.08711738,1646,
2016-04-08,2409.67027351,769,90573.0,0.003911,2333.0,310725.0,0.18272998,1751,
2016-04-09,1881.64149076,724,85000.0,0.003622,1319.0,305775.0,0.17267345,1650,
2016-04-10,1911.01149094,719,89586.0,0.003768,3314.0,306000.0,0.80100522,1660,
2016-04-11,2376.80131015,603,79316.0,0.003293,4236.0,305550.0,0.96091918,1510,
2016-04-12,1495.30482395,574,62798.0,0.002575,1117.0,306900.0,0.10545701,1703,
2016-04-13,2259.24644991,590,64366.0,0.002606,1402.0,306900.0,0.18181641,1443,
2016-04-14,2287.58059094,626,60192.0,0.002407,729.0,307125.0,0.166451,1574,
2016-04-15,1224.39803393,646,66129.0,0.002613,688.0,309600.0,0.17996888,1463,
2016-04-16,1967.81687037,814,66347.0,0.00259,1129.0,308700.0,0.6601945,1688,
2016-04-17,1127.28952459,850,72008.0,0.002777,1967.0,306225.0,0.1367723,1707,
2016-04-18,1559.13128221,591,69743.0,0.002658,1241.0,306225.0,0.13731307,1495,
2016-04-19,2280.76590036,664,68903.0,0.002596,1449.0,309375.0,0.23247114,1639,
2016-04-20,6009.01093239,554,71876.0,0.002677,1535.0,307575.0,0.15091849,1476,
2016-04-21,1168.6949373,549,64353.0,0.00237,1470.0,308025.0,0.12392387,1502,
2016-04-22,690.336516145,522,54598.0,0.001988,713.0,308250.0,0.07344673,1429,
2016-04-23,1045.44043415,621,56154.0,0.002022,3745.0,304425.0,0.11439447,1493,
2016-04-24,726.709215678,539,58324.0,0.002077,1052.0,306450.0,0.08012465,1485,
2016-04-25,1233.98232534,519,59694.0,0.002103,765.0,309375.0,0.17503969,1679,
2016-04-26,1821.44841246,531,65698.0,0.00229,495.0,306000.0,0.27067146,1750,
2016-04-27,1541.53857531,518,60723.0,0.002094,769.0,307800.0,0.11462358,1529,
2016-04-28,2809.01483423,434,62086.0,0.002118,2188.0,307800.0,0.1848559,1277,
2016-04-29,2604.54407746,512,72929.0,0.002463,2521.0,307575.0,0.1485116,1479,
2016-04-30,686.302189912,543,67014.0,0.002239,475.0,308250.0,0.07324321,1463,
2016-05-01,704.993616408,565,63989.0,0.002117,755.0,307575.0,0.09229807,1547,
2016-05-02,690.377900973,591,59853.0,0.00196,570.0,308250.0,1.4586368,1528,
